id,name,ordering
"1","Clay "
"2","Silt "
"3","Sand "
"4","Loam "
"5","Silty clay "
"6","Sandy clay "
"7","Clay loam "
"8","Silt loam "
"9","Sandy Loam "
"10","Loamy sand "
"11","Silty clay loam "
"12","Sandy clay loam "
