id,name,ordering
"1","< 2 mm"
"2","< 1 mm"
"3","< 0.5 mm"
"4","< 0.25 mm"
"5","< 0.2 mm"
"6","< 100 µm"
"7","< 63 µm"
"8","< 50 µm"
"9","< 20 µm"
"10","< 2 µm"
"11","Other"
