id,name,ordering
"1","EC50","0"
"2","EC20","0"
"3","EC10","0"
"4","EC05","0"
"5","EC-IR1.5","0"
"6","EC-RR1.5","0"
"7","IC50","0"
"8","IC20","0"
"9","IC10","0"
"10","IC05","0"
"11","NOEC","0"
"12","LOEC","0"
"13","NA","1"
"14","NR","2"
"15","Other","3"
