CAS,chemical_name,susdat_name,susdat_id,DTX,,
28044-83-9,alpha-heptachlor epoxide,Heptachlor epoxide A,NS00099458,,,
1024-57-3,beta-heptachlor epoxide,Heptachlor epoxide B,NS00008890,,,
5103-71-9,alpha-chlordane,Cis-Chlordane,NS00066932,,,
5103-74-2,beta-chlordane,Trans-Chlordane,NS00073906,,,
865318-97-4,ametoctradin,Ametoctradin,NS00002845,,,
834-12-8,ametrine,Ametryn,NS00000481,,,
120923-37-7,amidosulfuron,Amidosulfuron,NS00000555,,,
2032-59-9,aminocarb,Aminocarb,NS00008504,,,
150114-71-9,aminopyralid,Aminopyralid,NS00004656,,,
348635-87-0,amisulbrom,Amisulbrom,NS00001106,,,
33089-61-1,amitraz,Amitraz,NS00010085,,,
61-82-5,amitrole,Amitrole,NS00014227,,,
77521-29-0,ampa,(+/-)-Alpha-Amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid (AMPA),NS00114216,,,
101-05-3,anilazine,Anilazine,NS00002860,,,
3337-71-1,asulam,Asulam,NS00009629,,,
1610-17-9,atraton,Atraton,NS00010573,,,
1912-24-9,atrazine,Atrazine,NS00000262,,,
6190-65-4,atrazine desethyl,Deethylatrazine,NS00008490,,,
2163-68-0,atrazine-2-hydroxy,2-Hydroxyatrazine,NS00000255,,,
65195-55-3,avermectin b1a,Avermectin B1a,NS00002049,,,
65195-56-4,avermectin b1b,Avermectin B1b,NS00008552,,,
11141-17-6,azadirachtin,Azadirachtin,NS00004969,,,
60207-31-0,azaconazole,Azaconazole,NS00001037,,,
120162-55-2,azimsulfuron,Azimsulfuron,NS00002919,,,
2642-71-9,azinphos-ethyl,Azinphos-ethyl,NS00009161,,,
131860-33-8,azoxystrobin,Azoxystrobin,NS00009778,,,
86-50-0,azinphos-methyl,Azinphos-methyl,NS00010876,,,
1185255-09-7,azoxystrobin acid,Azoxystrobin acid,NS00000374,,,
113614-08-7,beflubutamid,Beflubutamid,NS00007100,,,
71626-11-4,benalaxyl,Benalaxyl,NS00000482,,,
98243-83-5,benalaxyl-m,Benalaxyl-M,NS00120704,,,
22781-23-3,bendiocarb,Bendiocarb,NS00001535,,,
1861-40-1,benfluralin,Benfluralin,NS00005161,,,
82560-54-1,benfuracarb,Benfuracarb,NS00022823,,,
17804-35-2,benomyl,Benomyl,NS00000092,,,
83055-99-6,bensulfuron-methyl,Bensulfuron-methyl,NS00009444,,,
17606-31-4,bensultap,Bensultap,NS00008217,,,
25057-89-0,bentazone,Bentazone,NS00000236,,,
60374-43-8,bentazone 8-oh,8-Hydroxybentazon,NS00003944,,,
55-21-0,benzamide,Benzamide,NS00009285,,,
177406-68-7,benthiavalicarb-isopropyl,Benthiavalicarb-isopropyl,NS00008009,,,
98-10-2,benzenesulfonamide,Benzenesulfonamide,NS00010816,,,
98-11-3,benzenesulfonic acid,Benzenesulfonic acid,NS00009548,,,
65-85-0,benzoic acid,Benzoic acid,NS00008785,,,
88-97-1,"benzoic acid, 2-(aminocarbonyl)-","Benzoic acid, 2-(aminocarbonyl)-",NS00014427,,,
110964-79-9,"benzoic acid, 4-(methylsulfonyl)-2-nitro-","Benzoic acid, 4-(methylsulfonyl)-2-nitro-",NS00002292,,,
53774-07-5,"benzoic acid, 5-(2,4-dichlorophenoxy)-2-nitro-","Benzoic acid, 5-(2,4-dichlorophenoxy)-2-nitro-",NS00006987,,,
1929-88-0,benzthiazuron,Benzthiazuron,NS00010109,,,
149877-41-8,bifenazate,Bifenazate,NS00010595,,,
82657-04-3,bifenthrin,Bifenthrin,NS00066797,,,
42576-02-3,bifenox,Bifenox,NS00000096,,,
125401-92-5,bispyribac-sodium,Bispyribac,NS00005382,,,
92-52-4,biphenyl,Biphenyl,NS00010251,,,
581809-46-3,bixafen,Bixafen,NS00007333,,,
55179-31-2,bitertanol,Bitertanol,NS00000097,,,
56073-10-0,brodifacoum,Brodifacoum,NS00015497,,,
188425-85-6,boscalid,Boscalid,NS00000437,,,
28772-56-7,bromadiolone,Bromadiolone,NS00000686,,,
314-40-9,bromacil,Bromacil,NS00000246,,,
4824-78-6,bromophos-ethyl,Bromophos-ethyl,NS00001710,,,
1715-40-8,bromocyclen,Bromociclen,NS00001549,,,
18181-80-1,bromopropylate,Bromopropylate,NS00004515,,,
2104-96-3,bromophos-methyl,Bromofos,NS00008725,,,
1689-84-5,bromoxynil,Bromoxynil,NS00001555,,,
116255-48-2,bromuconazole,Bromuconazole,NS00000700,,,
41483-43-6,bupirimate,Bupirimate,NS00008560,,,
52-51-7,bronopol,Bronopol,NS00003792,,,
134605-64-4,butafenacil,Butafenacil,NS00006629,,,
69327-76-0,buprofezin,"	Buprofezin",NS00114384,,,
23184-66-9,butachlor,Butachlor,NS00003366,,,
35256-85-0,butam,Butam,NS00000238,,,
33629-47-9,butralin,Butralin,NS00000101,,,
34681-23-7,butoxycarboxim,Butoxycarboxim,NS00007418,,,
3766-60-7,buturon,Buturon,NS00006372,,,
95465-99-9,cadusafos,Cadusafos,NS00000102,,,
2425-06-1,captafol,Captafol,NS00005473,,,
133-06-2,captan,Captan,NS00008419,,,
63-25-2,carbaryl,Carbaryl,NS00000484,,,
10605-21-7,carbendazim,Carbendazim,NS00010265,,,
1563-66-2,carbofuran,Carbofuran,NS00010602,,,
16118-49-3,carbetamide,Carbetamide,NS00008830,,,
786-19-6,carbophenothion,,NS00015384,,,
16655-82-6,carbofuran(+3-hydroxy),3-Hydroxycarbofuran,"	
NS00010315",,,
