habitat_type
Coastal habitats
Forest and other wooded land
"Grasslands and lands dominated by forbs, mosses or lichens"
"Heathland, scrub and tundra"
Ice-associated marine habitats
Inland habitats with no or little soil and mostly with sparse vegetation
Marine benthic habitats
Pelagic water column
Vegetated man-made habitats
Wetlands
NR
Other
