LitDatabase,,CAS,Individual_ID,reported_concentration,,type_of_numeric_quantity,range_min/range_max,,Sample matrix,tissue,remark_MATRIX,Sample preparation,analytical_method,storage_temp_c/Packing material of samples,lod/loq,Species,Suggested Name ,latin_name,kingdom,class_phyl,Order,life_stage,sex,x_of_subsamples,x_of_replicates,start_of_sampling_day/start_of_sampling_month/start_of_sampling_year,Biota weight,Biota size/Biota length/Biota weight,,health_status,,,,,,trophic_level_as_described_in_paper/diet_as_described_in_paper,δ13C vs. VPDB ,d15N vs. Air N2,remark_Matrix of isotope parameters measured,,,Cause of death,name_of_country,region_city,latitude_1/longitude_1,habitat_type,,,,temperature,remark_2_Local soil/sediment/vegetation/mice concentration of metal element,Sample matrix,concentration_units,SD,reported_distance_to_industry,title/first_author/year/doi,,
,Hg,7439-97-6,NS00099541,1300,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,"ad, inner primary, left",N/A,activation anal- ysis,N/A,N/A,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,N/A,male,1,N/A,26-3-1868,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,"Mariedal, Skara, Vastergotland",N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,530,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,central tail feather,N/A,activation anal- ysis,N/A,N/A,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,N/A,male,1,N/A,26-3-1868,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,"Mariedal, Skara, Vastergotland",N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,960,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,"ad, inner primary",N/A,activation anal- ysis,N/A,N/A,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,N/A,female,1,N/A,1-5-1879,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,"Edsberg, Stockholm",N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,3600,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,central tail feather,N/A,activation anal- ysis,N/A,N/A,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,N/A,female,1,N/A,1-5-1879,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,"Edsberg, Stockholm",N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,1350,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,"ad, inner primary",N/A,activation anal- ysis,N/A,N/A,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,N/A,female,1,N/A,12156,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,"Anaset, Skellefta, Vasterbotten",N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,3150,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,central tail feather,N/A,activation anal- ysis,N/A,N/A,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,N/A,female,1,N/A,12156,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,"Anaset, Skellefta, Vasterbotten",N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,27000,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,primary,N/A,activation anal- ysis,N/A,N/A,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,23529,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Ringarum Ostergotland,N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,13500,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,feather from back,N/A,activation anal- ysis,N/A,N/A,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,23899,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Ringarum Ostergotland,N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,19700,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,"primary, right wing",N/A,activation anal- ysis,N/A,N/A,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,23916,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,"Gryt, Ostergotland",N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,41000,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,tail down,N/A,activation anal- ysis,N/A,N/A,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,"chick, weight 495 g",N/A,1,N/A,23899,495 g,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,found dead in the nest,Sweden,Ringarum Ostergotland,N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,27000,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,central tail feather,N/A,activation anal- ysis,N/A,N/A,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,23996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,found dead,Sweden,Varmdo Uppland,N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,12800,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,inner primary,N/A,activation anal- ysis,N/A,N/A,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,23996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,found fead,Sweden,Varmdo Uppland,N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,20000,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,central fail feather,N/A,activation anal- ysis,N/A,N/A,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,N/A,male,1,N/A,24016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,found fead,Sweden,Harstena Ostergotland,N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,14500,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,inner primary,N/A,activation anal- ysis,N/A,N/A,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,N/A,male,1,N/A,24016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,found fead,Sweden,Harstena Ostergotland,N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,2700,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,tail feather,N/A,activation anal- ysis,N/A,N/A,long-eared owl,Long-eared owl,asio otus,Animalia,Aves,Strigiformes,N/A,male,1,N/A,13-5-1865,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,"""Narke"", (Karol. High school Collection, Orebro)",N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,37500,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,tail feather,N/A,activation anal- ysis,N/A,N/A,long-eared owl,Long-eared owl,asio otus,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,23888,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,"Kvismaren, Narke",N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,14100,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,tail feather,N/A,activation anal- ysis,N/A,N/A,remnant of prey in nest of eagle owl,,N/A,,,,N/A,N/A,1,N/A,23899,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,prey in nest,Sweden,"Ringarum, Ostergotland",N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,109000,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,"ad, middle tail feather",N/A,activation anal- ysis,N/A,N/A,long-eared owl,Long-eared owl,asio otus,Animalia,Aves,Strigiformes,N/A,male,1,N/A,23894,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,found dead,Sweden,"Karlskrona, Blekinge",N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,1700,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,tail feather,N/A,activation anal- ysis,N/A,N/A,tawny owl,Tawny owl,strix aluco,Animalia,Aves,Strigiformes,chick,female,1,N/A,1862,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,"""Narke"", (Karol. High school Collection, Orebro)",N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,1600,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,primary,N/A,activation anal- ysis,N/A,N/A,tawny owl,Tawny owl,strix aluco,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,23894,75 g,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,without head found dead in nest,Sweden,"Kvismaren, Narke",N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,6600,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,tail feathers,N/A,activation anal- ysis,N/A,N/A,tawny owl,Tawny owl,strix aluco,Animalia,Aves,Strigiformes,young in the nest,N/A,1,N/A,23894,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,"Kvismaren, Narke",N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,1700,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,primary,N/A,activation anal- ysis,N/A,N/A,tawny owl,Tawny owl,strix aluco,Animalia,Aves,Strigiformes,,N/A,1,N/A,23920,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,"Osteraker, Uppland",N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,8700,N/A,single value,N/A,ng/g,Biota-Terrestrial,feathers,central tail feather,N/A,activation anal- ysis,N/A,N/A,tawny owl,Tawny owl,strix aluco,Animalia,Aves,Strigiformes,juvenile,N/A,1,N/A,23947,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,found dead,Sweden,"Taby, Uppland",N/A,N/A,humid continental climate (Dfb),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry",Berg et al. 1966,,
,Hg,7439-97-6,NS00099541,0.666666667,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1921,N/A,N/A,N/A,N/A,N/A,N/A,mottled shade of grey/brown; underparts white/brown,N/A,N/A,feed almost exclusively on rodents and shrews?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Skane,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,0.866666667,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1943,N/A,N/A,N/A,N/A,N/A,N/A,mottled shade of grey/brown; underparts white/brown,N/A,N/A,feed almost exclusively on rodents and shrews?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Skane,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,3,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1947,N/A,N/A,N/A,N/A,N/A,N/A,mottled shade of grey/brown; underparts white/brown,N/A,N/A,feed almost exclusively on rodents and shrews?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Skane,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,46.06666667,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1952,N/A,N/A,N/A,N/A,N/A,N/A,mottled shade of grey/brown; underparts white/brown,N/A,N/A,feed almost exclusively on rodents and shrews?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Skane,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,0.4,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1959,N/A,N/A,N/A,N/A,N/A,N/A,mottled shade of grey/brown; underparts white/brown,N/A,N/A,feed almost exclusively on rodents and shrews?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Skane,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,8.6,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1964,N/A,N/A,N/A,N/A,N/A,N/A,mottled shade of grey/brown; underparts white/brown,N/A,N/A,feed almost exclusively on rodents and shrews?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Skane,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,30.46666667,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1965,N/A,N/A,N/A,N/A,N/A,N/A,mottled shade of grey/brown; underparts white/brown,N/A,N/A,feed almost exclusively on rodents and shrews?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Skane,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,126,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1965,N/A,N/A,N/A,N/A,N/A,N/A,mottled shade of grey/brown; underparts white/brown,N/A,N/A,feed almost exclusively on rodents and shrews?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Skane,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,8.733333333,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1965,N/A,N/A,N/A,N/A,N/A,N/A,mottled shade of grey/brown; underparts white/brown,N/A,N/A,feed almost exclusively on rodents and shrews?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Skane,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,2,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1965,N/A,N/A,N/A,N/A,N/A,N/A,mottled shade of grey/brown; underparts white/brown,N/A,N/A,feed almost exclusively on rodents and shrews?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Skane,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,6.066666667,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1966,N/A,N/A,N/A,N/A,N/A,N/A,mottled shade of grey/brown; underparts white/brown,N/A,N/A,feed almost exclusively on rodents and shrews?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Skane,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,1,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1966,N/A,N/A,N/A,N/A,N/A,N/A,mottled shade of grey/brown; underparts white/brown,N/A,N/A,feed almost exclusively on rodents and shrews?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Skane,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,1.666666667,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1966,N/A,N/A,N/A,N/A,N/A,N/A,mottled shade of grey/brown; underparts white/brown,N/A,N/A,feed almost exclusively on rodents and shrews?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Skane,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,5.666666667,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1966,N/A,N/A,N/A,N/A,N/A,N/A,mottled shade of grey/brown; underparts white/brown,N/A,N/A,feed almost exclusively on rodents and shrews?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Skane,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,0.8,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1966,N/A,N/A,N/A,N/A,N/A,N/A,mottled shade of grey/brown; underparts white/brown,N/A,N/A,feed almost exclusively on rodents and shrews?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Skane,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,0.6,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1966,N/A,N/A,N/A,N/A,N/A,N/A,mottled shade of grey/brown; underparts white/brown,N/A,N/A,feed almost exclusively on rodents and shrews?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Skane,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
,Hg,7439-97-6,NS00099541,3.070362473,N/A,single value,N/A,ug/g,Biota-Terrestrial,feathers,N/A,N/A,activation anal- ysis,N/A,N/A,long eared owl,Long-eared owl,Asio otus,Animalia,Aves,Strigiformes,N/A,N/A,1,N/A,1865,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mostly carninore?,N/A,N/A,N/A,N/A,N/A,N/A,Sweden,Narke,N/A,agricultural area,humid continental climate (Dfb),N/A,N/A,N/A,large amounts of mercury are present in sediments and or- ganic matter in the water,N/A,N/A,N/A,"chlorine- alkali factory about 1900, (in)organic Hg for seed dressing, Amalgam fillings in dentistry","Westermark et al, 1975",,
