"2","0.12","0.35","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"3","0.1","0.3","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"4","0.07","0.2","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"5","0.08","0.25","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"6","0.13","0.4","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"7","0.11","0.33","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"8","0.15","0.45","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"9","0.05","0.14","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"10","0.17","0.5","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"11","0.2","0.6","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"12","0.18","0.55","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"13","0.03","0.1","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"14","0.26","0.8","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"15","0.5","1.5","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"16","0.66","2","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"17","0.05","0.15","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"18","0.28","0.85","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"19","0.33","1","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"20","0.36","1.1","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"21","0.4","1.2","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"22","0.46","1.4","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"23","0.35","1.05","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"24","0.25","0.75","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"25","0.23","0.7","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"26","0.3","0.9","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"27","0.59","1.8","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"28","0.92","2.8","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"29","0.63","1.9","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"30","0.43","1.3","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"31","1.65","5","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
"32","0.99","3","ng/g dw","15","0","0",,"0",,"0",,"0",,"0",,,,,,,,,,,,
