sus_id,DTXSID,usepa_formula,usepa_wikipedia,usepa_wikipedia_url,usepa_Log_Kow_experimental,usepa_Log_Kow_predicted,usepa_solubility_experimental,usepa_solubility_predicted,usepa_Koc_min_experimental,usepa_Koc_max_experimental,usepa_Koc_min_predicted,usepa_Koc_max_predicted,usepa_Life_experimental,usepa_Life_predicted,usepa_BCF_experimental,usepa_BCF_predicted
65956,DTXSID30915618,,,,,,,,,,781.408,781.408,,34.902,,39.5171
65957,DTXSID70913532,,,,,,,,,,117.564,117.564,,4.4503,,6.58647
65958,DTXSID50243349,,,,,,,,,,10090.4,10090.4,,8.6365,,62.676
65960,DTXSID10914200,,,,,,,,,,27.4758,27.4758,,4.64946,,1.1785
65962,DTXSID70919938,,,,,,,,,,435.367,435.367,,2.92886,,14.0741
65965,DTXSID20234769,,,,,,,,,,50.0744,50.0744,,3.32889,,2.84252
65966,DTXSID50234772,,,,,,,,,,69.0845,69.0845,,3.45524,,7.2961
65967,DTXSID201006144,,,,,,,,,,2011.82,2011.82,,8.82118,,4.37789
65968,DTXSID70242899,,,,,,,,,,31540.7,31540.7,,15.6322,,4.08668
65969,DTXSID00913429,,,,,,,,,,38.0864,38.0864,,4.46786,,1.4766
65971,DTXSID90913958,,,,,,,,,,5872.6,5872.6,,29.749,,1221.72
65973,DTXSID40242922,,,,,,,,,,39703.5,39703.5,,16.0434,,367.013
65974,DTXSID00242923,,,,,,,,,,9757.17,9757.17,,15.9352,,464.824
65975,DTXSID20243477,,,,,,,,,,10200.2,10200.2,,31.1899,,22.6616
65976,DTXSID70915910,,,,,,,,,,243.611,243.611,,41.5107,,51.5339
65977,DTXSID00915908,,,,,,,,,,15377.7,15377.7,,4.73444,,6.74405
65978,DTXSID80915906,,,,,,,,,,45.9554,45.9554,,4.42933,,10.9534
65979,DTXSID80915901,,,,,,,,,,63346.7,63346.7,,107.352,,23.6414
65982,DTXSID30913614,,,,,,,,,,21331.1,21331.1,,4.07606,,5.47845
65983,DTXSID50913611,,,,,,,,,,20481.7,20481.7,,4.68216,,4.87117
65984,DTXSID101006939,,,,,,,,,,65098.6,65098.6,,70.754,,842.877
65985,DTXSID901006957,,,,,,,,,,64285.3,64285.3,,3.35527,,322.408
65986,DTXSID801006992,,,,,,,,,,324.281,324.281,,4.28029,,3.20336
65987,DTXSID30234619,,,,,,,,,,2176.06,2176.06,,3.6592,,289.322
65992,DTXSID90913817,,,,,,,,,,69.9931,69.9931,,5.17691,,1.24225
65994,DTXSID80241454,,,,,,,,,,4918.73,4918.73,,4.43361,,498.967
65996,DTXSID40915563,,,,,,,,,,100.444,100.444,,4.92881,,22.1306
