sus_id,categories
22023,food_additive:flavor
22023,food_additive_ACToRUseDB
14764,drug
14764,drug:antifibrinolytic
14764,drug:discontinued
14764,drug:orphan
14764,drug_ACToRUseDB
14764,human_metabolite
14764,personal_care:cosmetics:prohibited_ASEAN
335,drinking_water_contaminant:drug:detected
335,drug
335,drug:analgesic
335,drug:antianxiety
335,drug:anticonvulsant
335,drug:antimanic
335,drug:antiparkinson
335,drug:calcium:channel_blocker
335,drug:discontinued
335,drug:excitatory:amino_acid_antagonist
335,drug:orphan
335,drug_ACToRUseDB
335,food
335,human_metabolite
14227,food_residue
14227,industrial_manufacturing_ACToRUseDB
14227,lubricant
14227,manufacturing:machines
14227,personal_care:cosmetics:prohibited_ASEAN
14227,pesticide
14227,pesticide:active_ingredient
14227,pesticide:restricted_US
14227,pesticide_ACToRUseDB
22299,food_additive
22299,food_additive:flavor
22299,food_additive_ACToRUseDB
22304,food_additive:flavor
22304,food_additive_ACToRUseDB
385,drug
385,drug:dietary_supplement
385,drug:inactive_ingredient
385,drug_ACToRUseDB
385,facility:food_production
385,feed:animal
385,food_additive
385,food_additive:flavor
385,food_additive:sweetener
385,food_additive_ACToRUseDB
385,food_contact
385,human_metabolite
385,industrial_manufacturing_ACToRUseDB
385,manufacturing:chemical
385,manufacturing:drug
385,manufacturing:food
385,pesticide:inert_ingredient
22303,food_additive
22303,food_additive:flavor
22303,food_additive_ACToRUseDB
22311,food_additive:flavor
22311,food_additive_ACToRUseDB
2107,absorbent
2107,adsorbent
2107,agricultural:animal
2107,agricultural:crop
2107,air_fresheners:fragrance:consumer_use
2107,air_treatment
2107,arts_crafts:child_use:detected
2107,automotive_care
2107,automotive_care:interior:detected
2107,beverage:food_service
2107,child_use
2107,cleaning_washing
2107,cleaning_washing:bathroom:consumer_use
2107,cleaning_washing:carpet
2107,cleaning_washing:dishwashing
2107,cleaning_washing:disinfectant
2107,cleaning_washing:enclosed
2107,cleaning_washing:flooring
2107,cleaning_washing:furniture
2107,cleaning_washing:glass
2107,cleaning_washing:laundry
2107,cleaning_washing:laundry:fragrance:consumer_use
2107,cleaning_washing:machines:dishwashing
2107,cleaning_washing:machines:laundry
2107,cleaning_washing:stain_remover
2107,cleaning_washing:textile:detergent
2107,cleaning_washing:toilets
2107,cleaning_washing:window
2107,construction
2107,consumer_use
2107,consumer_use_ACToRUseDB
2107,decor:candle:detected
2107,disinfectant
2107,drug:detected
2107,facility:food_production
2107,facility:food_service
2107,facility:fuel:automotive
2107,facility:laundry
2107,facility:laundry:drycleaning
2107,flavor
2107,fluid_property_modulator
2107,food_additive
2107,food_additive:flavor
2107,food_additive_ACToRUseDB
2107,food_contact
2107,food_service
2107,fragrance
2107,fragrance:consumer_use
2107,fragrance_ACToRUseDB
2107,hunting
2107,industrial:cleaning_washing
2107,industrial:cleaning_washing:laundry
2107,industrial:fragrance
2107,industrial_manufacturing_ACToRUseDB
2107,inert_ACToRUseDB
2107,lubricant
2107,manufacturing:automotive
2107,manufacturing:chemical
2107,manufacturing:cleaning_washing:polish
2107,manufacturing:detergent
2107,manufacturing:export
2107,manufacturing:food
2107,manufacturing:furniture
2107,manufacturing:machines
2107,manufacturing:metals
2107,manufacturing:personal_care
2107,manufacturing:personal_care:cosmetics:perfume
2107,manufacturing:personal_care:cosmetics:shampoo:hair
2107,manufacturing:personal_care:toothpaste
2107,manufacturing:plastics
2107,manufacturing:soap
2107,paint
2107,paint:automotive_care
2107,personal_care
2107,personal_care:cosmetics
2107,personal_care:cosmetics:deodorant
2107,personal_care:cosmetics:fragrance
2107,personal_care:cosmetics:perfume
2107,personal_care:sexual_wellness:gel:detected
2107,personal_care:shower:gel
2107,personal_care:soap
2107,personal_care:wash:hand
2107,personal_care_ACToRUseDB
2107,pesticide:biocide:non_agricultural
2107,pesticide:inert_ingredient
2107,pesticide:preservatives
2107,plastics
2107,polish
2107,polish:automotive_care
2107,polish:plastics
2107,printing
2107,raw_material
2107,raw_material:personal_care:cosmetics
2107,sewage_treatment
2107,surface_treatment
2107,surface_treatment:metals
2107,toys:child_use:detected
2107,toys:fragrance:child_use:detected
2107,water_treatment
10722,adhesive
10722,agricultural
10722,arts_crafts:clay:detected
10722,automotive_care
10722,automotive_care:interior:detected
10722,cleaning_washing:dishwashing
10722,cleaning_washing:laundry
10722,consumer_use
10722,consumer_use_ACToRUseDB
10722,drug
10722,drug:dea_abuse_concern
10722,drug:inactive_ingredient
10722,drug_ACToRUseDB
10722,electronics
10722,fuel
10722,industrial_manufacturing_ACToRUseDB
10722,lubricant
10722,manufacturing:adhesive
10722,manufacturing:chemical
10722,manufacturing:metals
10722,manufacturing:paper
10722,manufacturing:photographic
10722,manufacturing:raw_material
10722,manufacturing:soap
10722,personal_care:cosmetics:prohibited_ASEAN
10722,pesticide
10722,pesticide_ACToRUseDB
10722,photographic
10722,plastics
10722,process_regulator
10722,raw_material
10722,resource_extraction:gas
10722,resource_extraction:oil
10722,surface_treatment
11736,food_additive
11736,food_additive:flavor
11736,food_additive_ACToRUseDB
22317,food_additive:flavor
22317,food_additive_ACToRUseDB
5906,drug
5906,drug:inactive_ingredient
5906,drug_ACToRUseDB
273,chemical:laboratory
273,cigarettes
273,consumer_use_ACToRUseDB
273,drinking_water_contaminant:drug:detected
273,drinking_water_contaminant:pesticide:detected
273,drug
273,drug:anorexigenic
273,drug:central_nervous_system:stimulant
273,drug:dea_abuse_concern
273,drug:dietary_supplement
273,drug:discontinued
273,drug:inactive_ingredient
273,drug:intermediate
273,drug:orphan
273,drug:phosphodiesterase_inhibitor
273,drug_ACToRUseDB
273,feed:animal
273,food_additive
273,food_additive:flavor
273,food_contact
273,human_metabolite
273,industrial_manufacturing_ACToRUseDB
273,inert_ACToRUseDB
273,manufacturing:beverage
273,manufacturing:chemical
273,manufacturing:drug
273,manufacturing:food
273,manufacturing:machines:beverage
273,manufacturing:machines:cigarettes
273,manufacturing:machines:food
273,personal_care:cosmetics:exfoliator
273,personal_care:cosmetics:eye
273,personal_care:cosmetics:face
273,personal_care:cosmetics:lotion
273,personal_care:health
273,pesticide
273,pesticide:active_ingredient
273,pesticide:biocide:active_ingredient
273,pesticide:inert_ingredient
273,pesticide_ACToRUseDB
273,raw_material:drug
32997,drug
32997,drug_ACToRUseDB
2910,industrial_manufacturing_ACToRUseDB
2910,manufacturing:chemical
5824,manufacturing:colorant
5824,manufacturing:raw_material
5824,pesticide
5824,pesticide:active_ingredient
5824,pesticide_ACToRUseDB
7862,adhesive
7862,drinking_water_contaminant:pesticide:detected
7862,food_residue
7862,industrial_manufacturing_ACToRUseDB
7862,manufacturing:machines
7862,paint
7862,paint:volatile_organic
7862,personal_care:cosmetics:prohibited_ASEAN
7862,pesticide
7862,pesticide:active_ingredient
7862,pesticide:biocide:active_ingredient
7862,pesticide_ACToRUseDB
2373,agrochemical:crop
2373,agrochemical:crop:flowers
2373,agrochemical:crop:fruit
2373,antimicrobial_ACToRUseDB
2373,chemical_warfare
2373,chemical_warfare_ACToRUseDB
2373,disinfectant_byproduct
2373,drinking_water_contaminant
2373,food_residue
2373,industrial_manufacturing_ACToRUseDB
2373,inert_ACToRUseDB
2373,personal_care:cosmetics:prohibited_ASEAN
2373,pesticide
2373,pesticide:active_ingredient
2373,pesticide:antimicrobial:active_ingredient
2373,pesticide:biocide:active_ingredient
2373,pesticide:food_additive
2373,pesticide:inert_ingredient
2373,pesticide:pesticide_conventional
2373,pesticide:restricted_US
2373,pesticide_ACToRUseDB
5725,agrochemical:crop
5725,agrochemical:crop:flowers
5725,agrochemical:crop:fruit
5725,agrochemical:crop:nut
5725,antimicrobial_ACToRUseDB
5725,construction
