id,name,ordering
"1","Danube"
"2","Rhine"
"3","Elbe"
"4","Oder"
"5","Meuse"
"6","Baltic Sea"
"7","Black Sea"
"8","Mediterranean Sea"
"9","North Sea"
"10","Other"
